"NO","SubNo","スキルカテゴリ","サブカテゴリ","スキルレベル","チェック項目","DS","DE","必須スキル","AI活用","AI活用タイプ"
1,1,"行動規範","ビジネスマインド","★","ビジネスにおける「論理とデータの重要性」を認識し、分析的でデータドリブンな考え方に基づき行動できる","","","〇","",""
2,2,"行動規範","ビジネスマインド","★","「目的やゴールの設定がないままデータを分析しても、意味合いが出ない」ことを理解している","","","〇","",""
3,3,"行動規範","ビジネスマインド","★","課題や仮説を言語化することの重要性を理解している","","","〇","",""
4,4,"行動規範","ビジネスマインド","★","現場に出向いてヒアリングするなど、一次情報に接することの重要性を理解している","","","〇","",""
5,5,"行動規範","ビジネスマインド","★","様々なサービスが登場する中で直感的にわくわくし、その裏にある技術に興味を持ち、リサーチできる","＊","＊","〇","〇","⑥技術的理解"
6,6,"行動規範","ビジネスマインド","★★","ビジネスではスピード感がより重要であることを認識し、時間と情報が限られた状況下でも、言わば「ザックリ感」を持って素早く意思決定を行うことができる","","","","",""
7,7,"行動規範","ビジネスマインド","★★","社会における変化や技術の進化など、外的要因による分析プロジェクトへの影響をある程度見通し、柔軟に行動できる","","","","",""
8,8,"行動規範","ビジネスマインド","★★","作業ありきではなく、解決すべき課題（イシュー）ありきで行動できる","","","〇","",""
9,9,"行動規範","ビジネスマインド","★★","分析で価値ある結果を出すためには、仮説検証の繰り返しが必要であることを理解し、粘り強くタスクを完遂できる","","","〇","",""
10,10,"行動規範","ビジネスマインド","★★★","プロフェッショナルとして、作業量ではなく生み出す価値視点で常に判断・行動でき、真に価値あるアウトプットを生み出すことにコミットできる","","","〇","",""
11,1,"行動規範","データ・AI倫理","★","データを取り扱う人間として相応しい倫理を身に着けている（データのねつ造、改ざん、盗用を行わないなど）","","","〇","",""
12,2,"行動規範","データ・AI倫理","★","データ、AI、機械学習の意図的な悪用（真偽の識別が困難なレベルの画像・音声作成、フェイク情報の作成、Botによる企業・国家への攻撃など）があり得ることを勘案し、技術に関する基礎的な知識と倫理を身につけている","＊","＊","〇","〇","⑧倫理課題対応"
13,3,"行動規範","データ・AI倫理","★★","AI・機械学習がもたらす現在の倫理課題を説明できる（生成AIによる様々な権利侵害、バイアスによる人種差別、学習済みモデルのリバースエンジニアリングによる知的財産権の侵害など）","＊","＊","〇","〇","⑧倫理課題対応"
14,4,"行動規範","データ・AI倫理","★★","生成AIモデルを活用する際、倫理の曖昧さと法整備の不十分さが残っていることを理解し、利活用するための対応方法を検討できる","","","","〇","⑦技術課題対応"
15,5,"行動規範","データ・AI倫理","★★★","会社や組織全体におけるデータの取り扱いに関する倫理を維持・向上させるために、必要な制度や仕組みを策定し、その運営を主導できる","","","","",""
16,1,"行動規範","コンプライアンス","★","データ分析者・利活用者として、データの倫理的な活用上の許容される範囲や、ユーザサイドへの必要な許諾について概ね理解している（直近の個人情報に関する法令：個人情報保護法、EU一般データ保護規則、データポータビリティなど）","","","〇","〇","⑧倫理課題対応"
17,2,"行動規範","コンプライアンス","★★","担当するビジネスや業界に関係する直近の法令・ガイドラインを理解しており、データの保持期間や運用ルールに活かすことができる","","＊","","",""
18,3,"行動規範","コンプライアンス","★★","個人情報の扱いに関する法令、その他のプライバシーの問題、依頼元との契約約款に基づき、明示されていない項目についても仮名化/匿名化すべきデータを選別できる（名寄せにより個人を特定できるもの、依頼元がデータ処理の結果をどのように保持し利用するのかなどの考慮）","","＊","","",""
19,1,"論理的思考","MECE","★","データや事象の重複に気づくことができる","","","〇","",""
20,2,"論理的思考","MECE","★★","初見の課題やテーマに対して、検討の抜け漏れや重複をなくすことができる","","","","",""
21,3,"論理的思考","MECE","★★★","前例のない課題やテーマであっても、他の事象からの類推などを活用し、検討の抜け漏れや重複をなくすことができる","","","","",""
22,1,"論理的思考","構造化能力","★","与えられた分析課題に対し、初動として様々な情報を収集し、大まかな構造を把握することの重要性を理解している","","","〇","",""
23,2,"論理的思考","構造化能力","★★","様々なデータや事象を、階層やグルーピングによって、適切に構造化できる","","","〇","",""
24,1,"論理的思考","言語化能力","★","対象となる事象が通常見受けられる場合において、分析結果の意味合いを正しく言語化できる","","","〇","",""
25,2,"論理的思考","言語化能力","★★","対象となる事象が通常見受けられない場合においても、分析結果の意味合いを既知の表現を組み合わせ、言語化できる","","","","",""
26,3,"論理的思考","言語化能力","★★★","データ表現に適した言葉がない場合でも、共通認識が形成できるような言葉を新たに作り出すことができる","","","","",""
27,1,"論理的思考","ストーリーライン","★","一般的な論文構成について理解している （序論⇒アプローチ⇒検討結果⇒考察や、序論⇒本論⇒結論 など）","","","〇","",""
28,2,"論理的思考","ストーリーライン","★★","因果関係に基づいて、ストーリーラインを作ることができる（観察⇒気づき⇒打ち手、So What?、Why So?など）","","","〇","",""
29,3,"論理的思考","ストーリーライン","★★★","相手や内容に応じて、自在にストーリーラインを組み上げることができる","","","","",""
30,1,"論理的思考","ドキュメンテーション","★","データの出自や情報の引用元に対する信頼性を適切に判断し、レポートに記載できる","","","〇","",""
31,2,"論理的思考","ドキュメンテーション","★","1つの図表〜数枚程度のドキュメントを論理立ててまとめることができる（課題背景、アプローチ、検討結果、意味合い、ネクストステップ）","＊","","〇","",""
32,3,"論理的思考","ドキュメンテーション","★★","10～20枚程度のミニパッケージ（テキスト＆図表）、もしくは5ページ程度の図表込みのビジネスレポートを論理立てて作成できる","＊","","〇","",""
33,4,"論理的思考","ドキュメンテーション","★★★","30～50枚程度のフルパッケージ（テキスト＆図表）、もしくは10ページ以上のビジネスレポートを論理立てて作成できる","＊","","","",""
34,1,"論理的思考","説明能力","★","報告に対する論拠不足や論理破綻を指摘された際に、相手の主張をすみやかに理解できる","＊","","〇","",""
35,2,"論理的思考","説明能力","★★","論理的なプレゼンテーションができる","＊","","〇","",""
36,3,"論理的思考","説明能力","★★★","プレゼンテーションの相手からの質問や反論に対して、説得力のある形で回答できる","＊","","〇","",""
37,1,"着想・デザイン","着想","★★","ユーザーの視点に基づき、経験や体験を捉え、課題の発見や解決策を考えることで、データおよびテクノロジーを活用したビジネスモデルの着想ができる","","","","",""
38,2,"着想・デザイン","着想","★★★","新たなテクノロジー・デバイスやAIサービスなどが登場した際に、速やかにそれらを活用・応用した新たなサービスの企画・設計や、データ活用戦略が立案できる","＊","＊","","〇","⑤企画"
39,3,"着想・デザイン","着想","★★★","単一の組織（企業や団体など）の枠を超えて他社や大学、地方自治体、研究機関、起業家などが持つ技術やアイデア、サービスなどを組み合わせることで、組織や取り組みにもたらす新たな価値を着想できる","","","","",""
40,1,"着想・デザイン","デザイン","★★","プライバシー・バイ・デザインやデータガバナンスの考え方を理解した上で、UI専門家などと協議し、同意取得やプライバシーに配慮したデータ取得設計ができる","","＊","","","⑤企画"
41,2,"着想・デザイン","デザイン","★★★","データやAIの利活用において関係者や利用者の共感を得ることができるようなビジョンやコンセプトを設計し提言できる","","","","",""
42,3,"着想・デザイン","デザイン","★★★","ビジネスの目的に応じて、既存のAIソリューションのカスタマイズの制限や依存関係を考慮しOEMやホワイトラベルとしてのAIの活用検討ができる","＊","＊","","〇","⑤企画"
43,1,"着想・デザイン","AI活用検討","★","既存の生成AIサービスやツールを活用し、自身の身の回りの業務・作業の効率化ができる","","","〇","〇","①使う"
44,2,"着想・デザイン","AI活用検討","★★","ビジネス課題に対して、既存の学習済みモデルやライブラリの適用を検討できる（APIの活用、LLMの適用など）
","＊","＊","","〇","⑤企画"
45,3,"着想・デザイン","AI活用検討","★★","事業主体の国や地域によって、データの扱いや動作環境が異なることを理解し、活用するクラウドサービスなどを適切に選択できる","","＊","","〇","⑤企画"
