No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,VC,DS,必須スキル
1,1,データエンジニアリング,環境構築,システム企画,★,オープンデータを収集して活用する分析システムの要件を整理できる,,,
2,2,データエンジニアリング,環境構築,システム企画,★★,数千万レコードの大容量データを蓄積・分析するシステムにおいて、データの重要性や分析要件に則したシステム構築、初期データ投入方法、システム運用の要件定義が行える,,,◯
3,3,データエンジニアリング,環境構築,システム企画,★★,ソフトウェア開発プロジェクトの管理方法、設計、テスト方法を理解した上で、データ管理・分析システムの要件定義を行うことができる,,,
4,4,データエンジニアリング,環境構築,システム企画,★★★,組織の情報システム戦略、全体システム化計画の方針に従い、全体最適の観点を持って、データ分析システムの企画・要件定義を推進できる,＊,,
5,5,データエンジニアリング,環境構築,システム企画,★★★,データ活用戦略を正しく理解し、各種業務プロセスについての専門知識とシステムに関する知識を有し、双方を活用して、適切な要件定義が行える,＊,,◯
6,6,データエンジニアリング,環境構築,システム企画,★★★,プライベートネットワーク上の内部データ（CRM、Webログ、ユーザー購買データなど）とインターネット上データ（気象データ、為替変動データなど）の仕様を理解し、両方のデータソースを統合する要件を整理できる,＊,,
7,7,データエンジニアリング,環境構築,システム企画,★★★,オンプレミス環境もしくはIaaS上の分析システムにおいて業務要件やリソース負荷に応じて、データフローや管理機構の統合、またバッチ実行スケジュールの最適化について要件定義が行える,,,
8,8,データエンジニアリング,環境構築,システム設計,★,サーバー1～10台規模のシステム構築、システム運用を手順書を元に実行できる,,,
9,9,データエンジニアリング,環境構築,システム設計,★,オンプレミス環境もしくはIaaS上のデータベースに格納された分析データのバックアップやアーカイブ作成などの定常運用ができる,,,
10,10,データエンジニアリング,環境構築,システム設計,★★,オンプレミス環境もしくはIaaS上の分析システムにおけるシステム運用（監視、フェイルオーバー、バックアップ、リカバリー処理、サービス開始・停止処理など）の運用設計や手順書作成が行える,,,
11,11,データエンジニアリング,環境構築,システム設計,★★,HTTPを活用したオープンAPIと分析システムのサーバー環境及びデータベースの連携設計ができる,,,
12,12,データエンジニアリング,環境構築,システム設計,★★,既存システムの各機能が参照・更新するデータの構造や関連付けを把握し、分析機能の追加や改修時にデータモデルの見直しが必要か判断できる,＊,,◯
13,13,データエンジニアリング,環境構築,システム設計,★★,分析実行頻度の少ないシステムにおいて、分析非稼働時にはサービス削除し、必要時のみサービスを有効にすることでクラウドコストを最小化するシステム運用を設計できる,,,
14,14,データエンジニアリング,環境構築,システム設計,★★,クラウドの運用管理サービスを利用して、クラウド上に構築した分析システムの監視やバックアップ等のシステム運用を実装できる,,,
15,15,データエンジニアリング,環境構築,システム設計,★★,IaC（Infrastructure as Code）を活用して、サーバー、ネットワーク、ストレージなどのインフラ環境を再現性・自動化可能な形で構築・管理できる,,,
16,16,データエンジニアリング,環境構築,システム設計,★★★,オンプレミス環境における分析システムのキャパシティ要件（データ容量）と必要処理性能（スループット）を定義できる,,,
17,17,データエンジニアリング,環境構築,システム設計,★★★,クラウドのメリットとデメリットを比較して、必要に応じてオンプレミスのデータ分析システムをクラウド環境に移行できる,,,
18,18,データエンジニアリング,環境構築,システム設計,★★★,オンプレミス環境における大容量データストアに対して適切なデータ分散配置なども含めてシステム拡張方法や最適化の要件を整理できる,,,
19,19,データエンジニアリング,環境構築,システム設計,★★,扱うデータのデータ規模や機密性、分析要件を理解した上で、オンプレミスで構築するか、クラウド上で構築するかの要件を整理できる,,,◯
20,20,データエンジニアリング,環境構築,アーキテクチャ設計,★,ノーコード・ローコードツールを組み合わせ、要件に応じたアプリやツールを設計できる,,,
21,21,データエンジニアリング,環境構築,アーキテクチャ設計,★,コンテナ技術の概要を理解しており、既存のDockerイメージを活用して効率的に分析環境を構築できる,,,
22,22,データエンジニアリング,環境構築,アーキテクチャ設計,★,分析環境を提供するクラウド上のマネージドサービス(Amazon SageMaker、Azure Machine Learning、Google Cloud Vertex AI、IBM watsonx.ai Studioなど)を利用して、機械学習モデルを開発できる,,,
23,23,データエンジニアリング,環境構築,アーキテクチャ設計,★,YAMLやJSONなど、プロジェクトで指定される形式を理解し、構成・設定ファイルを適切に記述・管理できる,,,
24,24,データエンジニアリング,環境構築,アーキテクチャ設計,★★,分析者向けのRDBMS、NoSQL、ETL、Visualizationなど単一コンポーネントのユーザー利用機能の設計が行える,,,◯
25,25,データエンジニアリング,環境構築,アーキテクチャ設計,★★,深層学習（ディープラーニング）の学習を高速化するために、GPU（GPGPU）環境を実装できる,,,
26,26,データエンジニアリング,環境構築,アーキテクチャ設計,★★,Dockerコンテナ技術を用いてデータの蓄積環境・分析環境を構築し、再利用できる形でDockerイメージを管理できる,,,
27,27,データエンジニアリング,環境構築,アーキテクチャ設計,★★,コンテナオーケストレーションツール（Kubernetes、OpenShift、Amazon Elastic Container Serviceなど）を用いて複数のコンテナの配置と実行を管理できる,,,
28,28,データエンジニアリング,環境構築,アーキテクチャ設計,★★,開発した予測モデルをREST APIから呼び出せるように実装し、マイクロサービスのコンポーネントの一つとしてシステムに組み込むことができる,,,
29,29,データエンジニアリング,環境構築,アーキテクチャ設計,★★,自社のオンプレミス環境とプライベートクラウド環境を専用線やVPNを用いて接続し、オンプレミス環境上のデータをクラウド上のデータストアサービスにインターネットを介さず安全に格納するネットワークを設計できる,,,
30,30,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,量子コンピュータにおけるロジックを検討する際に計算結果のゆらぎについて理解した上で、適切な処理フローやテスト手順を検討できる,,,
31,31,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,量子コンピュータの量子計算の特徴や制約を理解し、量子コンピュータの計算性能を生かすユースケースを検討できる,,,
32,32,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,オンプレミス環境の物理サーバ上にHadoopやSparkなどを組み合わせて大容量データを管理する分散管理システムを設計できる,,,
33,33,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,KVS、カラム指向、ドキュメント指向などデータ構造の異なる複数のシステムからデータ取得と分析環境への連携を設計できる,,,
34,34,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,費用対効果が高いPaaS型サービスと設計自由度の高いIaaS環境のメリット、デメリットを理解し、PaaSとIaaSを組み合わせた効率的な分析システムを設計できる,,,
35,35,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,Amazon Web Services（AWS)、Microsoft Azure、Google Cloud、IBM Cloudなど複数社のクラウドサービスを組み合わせたマルチクラウド構成を設計し、各社が提供する固有の分析サービスを連携して活用することができる,,,
36,1,データエンジニアリング,データ収集,クライアント技術,★,対象プラットフォーム（クラウドサービス、分析ソフトウェア）が提供する機能（SDKやAPIなど）の概要を説明できる,,,
37,2,データエンジニアリング,データ収集,クライアント技術,★,Webクローラー・スクレイピングツールを用いてWebサイト上の静的コンテンツを分析用データとして収集できる,,,
38,3,データエンジニアリング,データ収集,クライアント技術,★★,対象プラットフォーム（IoTデバイス、スマートフォン、クラウドサービスなど）で取得可能なデータ項目から目的に応じてデータ収集システムを設計できる,,,
39,4,データエンジニアリング,データ収集,クライアント技術,★★,エッジコンピューティング構成においてエッジデバイス側（端末側）で収集したログを、適切なタイミングでサーバ側に転送・集約するデータ収集の仕組みを設計できる,＊,,
40,5,データエンジニアリング,データ収集,クライアント技術,★★★,センター側で学習した予測モデルを、ネットワーク経由でエッジデバイスに配信して、エッジデバイス側で予測・分析を行うエッジAIシステムを設計できる,＊,,
41,6,データエンジニアリング,データ収集,通信技術,★,システムやネットワーク機器に用意された通信機能（HTTPS、SFTPなど）を用い、データを収集先に格納するための機能を実装できる,,,
42,7,データエンジニアリング,データ収集,通信技術,★★,データ収集対象の要件に応じて、MQTT（Message Queue Telemetry Transport）によるパブリッシュ/サブスクライブ型の通信を検討・実装できる,,,
43,8,データエンジニアリング,データ収集,通信技術,★★,既存のデータ収集システムの通信回線を5GやLPWA(Low Power Wide Area)など既存と異なる通信規格に変更することにより発生する影響を評価できる,,,
44,9,データエンジニアリング,データ収集,通信技術,★★,ネットワークプロトコルや暗号化などの通信技術を用い、通信のボトルネックと可用性（継続的に通信が成立していること）を考慮した上で、必要な通信機能を実装できる,,,
45,10,データエンジニアリング,データ収集,通信技術,★★★,自動車の自動運転やドローン操縦で使用される無線通信網の特性や制約を理解して、移動体から取得するデータや取得方式を設計できる,,,
46,11,データエンジニアリング,データ収集,通信技術,★★★,データ通信において、機能・性能の問題に対し根本原因を特定できるだけでなく、必要に応じて新規技術の適用を検討できる,,,
47,12,データエンジニアリング,データ収集,データ抽出,★,社内のシステムやサービスから必要な情報を取り出し、Excel形式の小規模なデータセットを作成できる,,,◯
48,13,データエンジニアリング,データ収集,データ収集,★,既存のサービスやアプリケーションに対して、分析をするためのログ出力の仕様を整理することができる,＊,＊,
49,14,データエンジニアリング,データ収集,データ収集,★★,FluentdやLogstashなどのログ収集ツールを用いて形式の異なる複数サーバのログを収集し分析可能な形式に変換して蓄積することができる,,,
50,15,データエンジニアリング,データ収集,データ収集,★★,GDPRや個人情報保護法を理解し、ユーザからの削除申請があった場合はユーザに関連する全ての情報を一括消去する機能を設計できる,＊,,
51,16,データエンジニアリング,データ収集,データ収集,★★★,入手可能なデータに加え、分析結果の品質・効果を向上させる新たなデータ入手方法を提案できる（IoTでの新設センサーの種類、配置場所、データ入手間隔など）,＊,＊,◯
52,17,データエンジニアリング,データ収集,データ統合,★★,データフォーマットの異なる同一内容のデータ（会員情報、商品マスタなど）を統合する処理を設計できる,,,◯
