No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,VC,DE,必須スキル
1,1,基礎技術,数学的理解,線形代数基礎,★,ベクトルの内積に関する計算方法を理解し、線形式をベクトルの内積で表現できる,,,◯
2,2,基礎技術,数学的理解,線形代数基礎,★,行列同士、および行列とベクトルの計算方法を正しく理解し、複数の線形式を行列の積で表現できる,,,◯
3,3,基礎技術,数学的理解,線形代数基礎,★,逆行列の定義、および逆行列を求めることにより行列表記された連立方程式が解けることを理解している,,,
4,4,基礎技術,数学的理解,線形代数基礎,★,固有ベクトルおよび固有値の意味を理解している,,,
5,5,基礎技術,数学的理解,線形代数基礎,★,テンソルの基本概念（次元数、軸、形状）と深層学習で用いる代表的な操作（転置、リシェイプ、インデックシング、ブロードキャストなど）を理解している,,,
6,6,基礎技術,数学的理解,微分・積分基礎,★,微分により計算する導関数が傾きを求めるための式であることを理解し、多変数関数においての微分（偏微分、勾配など）も必要に応じて求めることができる,,,◯
7,7,基礎技術,数学的理解,微分・積分基礎,★,積分と面積の関係を理解し、確率密度関数を定積分することで確率が得られることを説明できる,,,◯
8,8,基礎技術,数学的理解,微分・積分基礎,★,関数の停留点が必ずしも極値にならないことを理解し、局所最適解と大域最適解の違いを説明できる,,,
9,9,基礎技術,数学的理解,集合論基礎,★,和集合、積集合、差集合、対称差集合、補集合についてベン図を用いて説明できる,,,◯
10,10,基礎技術,数学的理解,集合論基礎,★,論理演算と集合演算の対応を理解している（ANDが積集合に対応するなど）,,,
11,1,基礎技術,科学的解析の基礎,統計数理基礎,★,"順列や組合せの式 nPr, nCr を理解し、適切に使い分けることができる",,,◯
12,2,基礎技術,科学的解析の基礎,統計数理基礎,★,確率に関する基本的な概念の意味を説明できる（確率、条件付き確率、期待値、独立など）,,,◯
13,3,基礎技術,科学的解析の基礎,統計数理基礎,★,平均、中央値、最頻値の算出方法の違いを説明できる,,,◯
14,4,基礎技術,科学的解析の基礎,統計数理基礎,★,分散、標準偏差、四分位、パーセンタイルを理解し、目的に応じて適切に使い分けることができる,,,◯
15,5,基礎技術,科学的解析の基礎,統計数理基礎,★,母（集団）平均と標本平均、不偏分散と標本分散がそれぞれ異なることを説明できる,,,◯
16,6,基礎技術,科学的解析の基礎,統計数理基礎,★,標準正規分布の平均と分散の値を知っている,,,◯
17,7,基礎技術,科学的解析の基礎,統計数理基礎,★,相関関係と因果関係の違いを説明できる,,,◯
18,8,基礎技術,科学的解析の基礎,統計数理基礎,★,名義尺度、順序尺度、間隔尺度、比例尺度の違いを説明できる,,,◯
19,9,基礎技術,科学的解析の基礎,統計数理基礎,★,ピアソンの相関係数の分母と分子を説明できる,,,◯
20,10,基礎技術,科学的解析の基礎,統計数理基礎,★,５つ以上の代表的な確率分布を説明できる,,,◯
21,11,基礎技術,科学的解析の基礎,統計数理基礎,★,二項分布は試行回数が増えていくとどのような分布に近似されるかを知っている,,,◯
22,12,基礎技術,科学的解析の基礎,統計数理基礎,★,変数が量的、質的どちらの場合でも関係の強さを算出できる,,,
23,13,基礎技術,科学的解析の基礎,統計数理基礎,★,指数関数とlog関数の関係を理解し、片対数グラフ、両対数グラフ、対数化されていないグラフを適切に使いわけることができる,,,◯
24,14,基礎技術,科学的解析の基礎,統計数理基礎,★,ベイズの定理を説明できる,,,◯
25,15,基礎技術,科学的解析の基礎,統計数理基礎,★★,分散共分散行列を作成し、各変数の散布度と相関構造を定量的に把握したうえで、前処理・モデリング方針へ反映できる,,,
26,16,基礎技術,科学的解析の基礎,統計数理基礎,★★,ベイズ推論が学習や予測、モデル評価などをすべて確率分布上の計算問題として扱っていることにより、これらの要素を確率分布として扱わない手法と比べ、どのようなメリットを生み出しているか理解している,,,
27,17,基礎技術,科学的解析の基礎,統計数理基礎,★★,自己情報量やエントロピーの意味について説明できる,,,
28,18,基礎技術,科学的解析の基礎,統計数理基礎,★★,カルバック・ライブラー情報量（KL divergence）、フィッシャー情報量の意味や利用方法について説明できる,,,
29,19,基礎技術,科学的解析の基礎,統計数理基礎,★★,尤度と最尤推定についての説明ができる（尤度関数、ネイマンの分解定理、十分統計量）,,,
30,20,基礎技術,科学的解析の基礎,仮説検証,★,業務課題から検証可能な仮説を抽出できる,,,
31,21,基礎技術,科学的解析の基礎,仮説検証,★★,仮説に対する適切な検証方法(分析手法・データ)を選択・実行できる,,,◯
32,22,基礎技術,科学的解析の基礎,仮説検証,★★★,複数仮説の優先順位付け・段階的検証を設計できる,,,
33,23,基礎技術,科学的解析の基礎,洞察,★,分析、図表から直接的な意味合いを抽出できる（バラツキ、有意性、分布傾向、特異性、関連性、変曲点、関連度の高低など）,＊,,◯
34,24,基礎技術,科学的解析の基礎,洞察,★,当初立てた仮説を否定する結果であっても、それを『ノイズ』として排除せず『新たな知見』として客観的に受容し、正確に報告できる,＊,,
35,25,基礎技術,科学的解析の基礎,洞察,★★,各種の解析手法（主成分分析、クラスター分析、決定木分析など）の結果を解釈し、意味合いを適切に表現・説明できる,＊,,◯
36,26,基礎技術,科学的解析の基礎,洞察,★★,複数のデータ分析結果を統合し、矛盾点や不確実性を明示した上で、ビジネス上の示唆を導き出せる,,,
37,27,基礎技術,科学的解析の基礎,性質・関係性,★,適切なデータ区間設定でヒストグラムを作成し、データのバラつき方を把握できる,＊,,◯
38,28,基礎技術,科学的解析の基礎,性質・関係性,★,適切な軸設定でクロス集計表を作成し、属性間のデータの偏りを把握できる,＊,,◯
39,29,基礎技術,科学的解析の基礎,性質・関係性,★,量的変数の散布図を描き、2変数の関係性を把握できる,,,◯
40,30,基礎技術,科学的解析の基礎,性質・関係性,★,条件Xと事象Yの関係性を信頼度、支持度、リフト値を用いて評価できる,,,
41,31,基礎技術,科学的解析の基礎,性質・関係性,★★,多重（質問間）クロス集計表などを駆使して、データから適切なインサイトを得ることができる（データの偏りの発見や独立性の検定など）,＊,,
42,32,基礎技術,科学的解析の基礎,性質・関係性,★★,主成分分析と因子分析の違いや使い分けを説明し、実施できる,,,
43,33,基礎技術,科学的解析の基礎,性質・関係性,★★,正準相関分析、コレスポンデンス分析、数量化III類を説明でき、データ特性に応じて適切に選択・実施できる,,,
44,34,基礎技術,科学的解析の基礎,性質・関係性,★★,因子分析における、因子負荷量の意味を理解し、因子軸の回転（プロマックス回転、バリマックス回転など）について実施できる,,,
45,35,基礎技術,科学的解析の基礎,性質・関係性,★★,コンジョイント分析を自ら設計し、効用値と寄与率からモデルを評価できる,,,
46,36,基礎技術,科学的解析の基礎,性質・関係性,★★,適切な類似度を設定した上で、多次元尺度構成法を用いてポジショニングマップを描くことができる,＊,,
47,37,基礎技術,科学的解析の基礎,性質・関係性,★★,空間的自己相関の手法を用いて空間的な類似性を数値化できる,,,
48,38,基礎技術,科学的解析の基礎,性質・関係性,★★,行列分解（非負値行列因子分解[Nonｰnegative Matrix Factorization:NMF]、特異値分解）を、目的に応じてパラメータを最適化して分析できる,,,
49,39,基礎技術,科学的解析の基礎,性質・関係性,★★★,テンソル分解（非負値テンソル因子分解[Non-negative Tensor Factorization:NTF]、CP分解[Canonical Polyadic Decomposition:CPD]、Tucker分解など）を、対象データの特性や目的に応じて適用する事で、より複合的な要因の性質や関係性を分析できる,,,
50,40,基礎技術,科学的解析の基礎,推定・検定,★,点推定と区間推定（信頼区間など）の違いを理解し、推定における不確実性を評価する上での区間推定の重要性を説明できる,,,
51,41,基礎技術,科学的解析の基礎,推定・検定,★,統計的仮説検定において帰無仮説と対立仮説の違いを説明できる,,,
52,42,基礎技術,科学的解析の基礎,推定・検定,★,検定における判断の誤り（第1種の過誤、第2種の過誤）と、p値、有意水準の意味、およびこれら相互の関係性を説明できる,,,
53,43,基礎技術,科学的解析の基礎,推定・検定,★,片側検定と両側検定の違いを理解し、適切に使い分けられる,,,
54,44,基礎技術,科学的解析の基礎,推定・検定,★,"検定する対象となるデータの対応の有無を考慮した上で適切な検定手法（t検定, z検定など）を選択し、適用できる",,,
55,45,基礎技術,科学的解析の基礎,推定・検定,★★,検定力やサンプルサイズ、データの分布（正規性など）に応じて、適切な検定手法（パラメトリック検定、ノンパラメトリック検定[クラスカル・ウォリス検定、カイ二乗検定]など）を選択し、結果を評価できる,,,
56,46,基礎技術,科学的解析の基礎,推定・検定,★★,p値だけでは仮説やモデルの正しさを評価できないことを理解し、p値以外のアプローチ（信頼区間、信用区間、ベイズファクターなど）と併せて透明性の高いデータ分析や結果の報告ができる,＊,,◯
57,47,基礎技術,科学的解析の基礎,因果推論,★,ある特定の処置に対して、その他の変数や外部の影響を除いた効果を測定するためには、処置群（実験群）と対照群に分けて比較・分析する必要があることを知っている,,,◯
58,48,基礎技術,科学的解析の基礎,因果推論,★,ある変数が他の変数に与える影響（因果効果）を推定したい場合、その双方に影響を与える共変量（交絡因子）の考慮が重要であると理解している（喫煙の有無と疾病発症の双方に年齢が影響している場合など）,,,
59,49,基礎技術,科学的解析の基礎,因果推論,★,分析の対象を定める段階で選択バイアスが生じる可能性があることを理解している（途中離脱者の除外時、欠損データの除外時など）,,,◯
60,50,基礎技術,科学的解析の基礎,因果推論,★★,分析目的において測定したい効果に関する変数を把握した上で、ランダム化比較試験や層別化などの方法を用いてその他の影響（各群の特性や背景）が均等になるように処置群・対照群を設計することができる,,,
61,51,基礎技術,科学的解析の基礎,因果推論,★★,統計的因果推論における因果効果（平均処置効果、Average Treatment Effect; ATEなど）について説明できる,,,
62,52,基礎技術,科学的解析の基礎,因果推論,★★,統計的因果推論における、交換性（exchangeability）、強く無視できる割り当て条件（Conditional Exchangeability）、一致性（consistency）、正値性（positivity）について説明できる,,,
63,53,基礎技術,科学的解析の基礎,因果推論,★★,ある変数の影響（因果効果）を推定したいがランダム化比較試験の実施が難しい場合、傾向スコアによる手法（傾向スコアマッチング、IPW、Doubly Robustなど）を用いることで観測されている共変量の影響を最小限に抑えることができる,,,
64,54,基礎技術,科学的解析の基礎,因果推論,★★,共変量の調整を行った際に、調整後の共変量のバランスやPositivity違反の有無を確認するとともに、感度分析を実施することで結果の妥当性を検証できる,,,
65,55,基礎技術,科学的解析の基礎,因果推論,★★,推薦システムのような介入方策を、その方策とは別の方策で集められたデータを用いて評価するOff-Policy Evaluation（OPE）の手法について説明できる（Direct Method (DM)、Inverse Probability Weighting (IPW)、Doubly Robust (DR)など）,,,
66,1,データ課題解決,アプローチ設計,分析方針設計,★★,分析の目的を検証すべき項目に分解し、優先度を判断した上で、アウトプットのイメージを描くことができる,＊,,◯
67,2,データ課題解決,アプローチ設計,分析方針設計,★★,分析の目的に対して、プロジェクトの目標と評価方法を具体化し、定量的な成功基準を設定するとともに、成功基準の判定時期・判定者を決定できる,＊,＊,
68,3,データ課題解決,アプローチ設計,分析方針設計,★★,仮説検証思考で、論点ごとに検証すべき項目を識別できる,＊,＊,◯
69,4,データ課題解決,アプローチ設計,分析方針設計,★★★,ビジネス課題に対して「データサイエンスを駆使して解くべき課題」か否かを判断できる,＊,,◯
70,5,データ課題解決,アプローチ設計,分析方針設計,★★★,自社ビジネスに関連する新たな学習済みモデルやAIサービスのリリースを常に把握し、その特徴やコスト、導入負荷、リスクなどを理解した上で現行業務や利用中のシステムに対する影響や導入可否を検討できる,＊,,
71,6,データ課題解決,アプローチ設計,分析方針設計,★★★,AI技術に関する大局的な理解をもとに、必要に応じて専門家に相談し、ビジネスで生じる様々なAI活用のアイデアについて、その実現可否や難易度を判断できる（生成モデルによるContent moderationの実施など）,＊,,
72,7,データ課題解決,アプローチ設計,データ入手計画,★,仮説や課題に対して必要なデータを特定できる,＊,＊,◯
73,8,データ課題解決,アプローチ設計,データ入手計画,★★,必要なデータの粒度・サンプリング方法を設計し、担当領域を超えてアクセスを確保できる,＊,＊,
74,9,データ課題解決,アプローチ設計,データ入手計画,★★★,組織全体及び関連する社外のデータを見渡して、必要なデータのあたりをつけ、アクセスを確保できる,＊,＊,
75,10,データ課題解決,アプローチ設計,分析設計,★,スコープ、検討範囲・内容が明確に設定されていれば、必要な分析プロセスが理解できる（データ、分析手法、可視化の方法など）,＊,,
76,11,データ課題解決,アプローチ設計,分析設計,★★,解くべき課題がフレーミングされていれば、必要な分析手法、可視化などを適切に選択できる,＊,,
