"NO","SubNo","スキルカテゴリ","スキルレベル","サブカテゴリ","チェック項目","BZ","DS","必須スキル"
1,1,"環境構築","★","システム運用","サーバー1～10台規模のシステム構築、システム運用を指示書があれば実行できる","","",""
2,2,"環境構築","★","システム運用","数十万レコードを持つデータベースのバックアップ・アーカイブ作成など定常運用ができる","","",""
3,3,"環境構築","★★","システム運用","数千万レコードのデータを保持するシステムにおいてデータの重要性や分析要件に則したシステム構築、初期データ投入方法、システム運用の要件定義が行える","","","◯"
4,4,"環境構築","★★","システム運用","顧客管理など分析システムの運用（異常検知、フェイルオーバー、バックアップ、リカバリー処理、開始・停止処理）の手順書作成や要件定義が行える","","",""
5,5,"環境構築","★★","システム運用","数千万レコードのデータを保持するシステムのキャパシティ要件（データ容量）と必要処理性能（スループット）を定義できる","","",""
6,6,"環境構築","★★★","システム運用","数十億レコードのデータに対してリバランシングなども含めてシステム拡張方法や最適化の要件を整理できる","","",""
7,7,"環境構築","★★★","システム運用","扱うデータのデータ規模や機密性、分析要件を理解した上で、オンプレミスで構築するか、クラウド上で構築するかの要件を整理できる","","","◯"
8,8,"環境構築","★","システム企画","データベースから何らかのデータ抽出方法を活用し、小規模なExcelのデータセットを作成できる","","","◯"
9,9,"環境構築","★","システム企画","オープンデータを収集して活用する分析システムの要件を整理できる","","",""
10,10,"環境構築","★★","システム企画","HTTPを活用したオープンAPIと分析システムのサーバー環境及びデータベースの連携設計ができる","","",""
11,11,"環境構築","★★","システム企画","社内分析者向けのRDBMS、NoSQL、ETL、Visualizationなど単一コンポーネントのユーザー利用機能設計が行える","","","◯"
12,12,"環境構築","★★","システム企画","ソフトウェア開発プロジェクトの管理方法、設計、テスト方法を理解した上で、データ管理・分析システムを要求定義することができる","","",""
13,13,"環境構築","★★","システム企画","オンプレミスのデータ分析システムをクラウド環境にシステム移行しコスト削減を実現できる","","",""
14,14,"環境構築","★★","システム企画","FPGAの構造と特性を理解し、対象業務のデータ処理がFPGAに適しているかを判断できる","","",""
15,15,"環境構築","★★","システム企画","既存システムの各機能が参照・更新するデータの構造や関連付けを把握し、分析機能の追加や改修時にデータモデルの見直しが必要か判断できる","＊","","◯"
16,16,"環境構築","★★★","システム企画","数十億レコード規模のデータに対し、HadoopやSparkなどを組み合わせた適切なシステム構成を設計できる","","",""
17,17,"環境構築","★★★","システム企画","数十億レコードの内部データ（CRM、webログ、ユーザー購買データ）、外部データ（購入しているデータ、オープンデータ）を理解し、複数のデータソースを統合する要件を整理できる","＊","",""
18,18,"環境構築","★★★","システム企画","KVS、カラム指向、ドキュメント指向などデータ構造の異なる複数のシステムからデータ取得と分析環境への連携を設計できる","","",""
19,19,"環境構築","★★★","システム企画","数十億レコードのデータを持つ業務要件やリソース負荷に応じて、データフローや管理機構の統合、またバッチ実行スケジュールの最適化について要件定義が行える","","",""
20,20,"環境構築","★★★","システム企画","組織の情報システム戦略、全体システム化計画の方針に従い、全体最適の観点を持って、データ分析システムの企画・要件定義を推進できる","＊","",""
21,21,"環境構築","★★","アーキテクチャ設計","深層学習（ディープラーニング）の学習を高速化するために、GPU（GPGPU）環境を設計・実装できる","","",""
22,22,"環境構築","★★","アーキテクチャ設計","コンテナ技術の概要を理解しており、既存のDockerイメージを活用して効率的に分析環境を構築できる","","",""
23,23,"環境構築","★★","アーキテクチャ設計","分析実行頻度の少ないシステムにおいて、分析非稼働時にはサービス削除し、必要時のみサービスを有効にすることでクラウドコストを最小化するシステム運用を設計できる","","",""
