No,SubNo,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,BZ,DS,DE,必須スキル,旧区分
1,1,行動規範,ビジネスマインド,★,ビジネスにおける「論理とデータの重要性」を認識し、分析的でデータドリブンな考え方に基づき行動できる,,,,◯,旧BZ
2,2,行動規範,ビジネスマインド,★,「目的やゴールの設定がないままデータを分析しても、意味合いが出ない」ことを理解している,,,,◯,旧BZ
3,3,行動規範,ビジネスマインド,★,課題や仮説を言語化することの重要性を理解している,,,,◯,旧BZ
4,4,行動規範,ビジネスマインド,★,現場に出向いてヒアリングするなど、一次情報に接することの重要性を理解している,,,,◯,旧BZ
5,5,行動規範,ビジネスマインド,★★,作業ありきではなく、解決すべき課題（イシュー）ありきで行動できる,,,,◯,旧BZ
6,6,行動規範,データ・AI倫理,★,データを取り扱う人間として相応しい倫理を身に着けている（データのねつ造、改ざん、盗用を行わないなど）,,,,◯,旧BZ
7,7,行動規範,データ・AI倫理,★,データ、AI、機械学習の意図的な悪用（真偽の識別が困難なレベルの画像・音声作成、フェイク情報の作成、Botによる企業・国家への攻撃など）があり得ることを勘案し、技術に関する基礎的な知識と倫理を身につけている,,＊,＊,◯,旧BZ
8,8,行動規範,コンプライアンス,★,データ分析者・利活用者として、データの倫理的な活用上の許容される範囲や、ユーザサイドへの必要な許諾について概ね理解している（直近の個人情報に関する法令：個人情報保護法、EU一般データ保護規則、データポータビリティなど）,,,,◯,旧BZ
9,1,論理的思考,MECE,★,データや事象の重複に気づくことができる,,,,◯,旧BZ
10,2,論理的思考,MECE,★★,初見の課題やテーマに対して、検討の抜け漏れや重複をなくすことができる,,,,,旧BZ
11,3,論理的思考,MECE,★★★,前例のない課題やテーマであっても、他の事象からの類推などを活用し、検討の抜け漏れや重複をなくすことができる,,,,,旧BZ
12,4,論理的思考,構造化能力,★,与えられた分析課題に対し、初動として様々な情報を収集し、大まかな構造を把握することの重要性を理解している,,,,◯,旧BZ
13,5,論理的思考,構造化能力,★★,様々なデータや事象を、階層やグルーピングによって、適切に構造化できる,,,,◯,旧BZ
14,6,論理的思考,言語化能力,★,対象となる事象が通常見受けられる場合において、分析結果の意味合いを正しく言語化できる,,,,◯,旧BZ
15,7,論理的思考,言語化能力,★★,対象となる事象が通常見受けられない場合においても、分析結果の意味合いを既知の表現を組み合わせ、言語化できる,,,,,旧BZ
16,1,課題の定義,KPI,★,担当する分析プロジェクトにおいて、当該事業の収益モデルと主要な変数を理解している,,,,,旧BZ
17,1,アプローチ設計,生成AI活用,★,大規模言語モデルにおいては、事実と異なる内容がさも正しいかのように生成されることがあること（Hallucination）、これらが根本的に避けることができないことを踏まえ、利用に際しては出力を鵜呑みにしない等の注意が必要であることを知っている,,,,◯,旧BZ
18,2,アプローチ設計,生成AI活用,★,Hallucinationが起きていることに気づくための適切なアクションをとることができる（検索等によるリサーチ結果との比較や、他LLMの出力結果との比較、正確な追加情報を入力データに付与することによる出力結果の変化比較など）,,,,,旧BZ
19,3,アプローチ設計,生成AI活用,★★,大規模言語モデルでの Hallucination に惑わされないために、どのような質問は適切で、どのような質問が適切でないかを判断して利用できる,,,,,旧BZ
20,1,データ理解,統計情報への正しい理解,★,単なるローデータとしての実数だけを見ても判断出来ない事象が大多数であり、母集団に占める割合などの比率的な指標でなければ数字の比較に意味がないことがわかっている,,＊,,◯,旧BZ
21,2,データ理解,統計情報への正しい理解,★,ニュース記事などで統計情報に接したときに、数字やグラフの不適切な解釈に気づくことができる,,＊,,◯,旧BZ
22,3,データ理解,統計情報への正しい理解,★★,自身の判断に必要となる統計情報を積極的に収集するとともに、表現に惑わされず数字を正当に評価できる（原点が0ではないグラフ、不要な3D化、不要な2軸化、目盛りの未記載など）,,＊,,,旧BZ
23,4,データ理解,統計情報への正しい理解,★★★,統計情報から有益な知見を得るために、何と比較するべきかすみやかに把握し、収集・利用できる（業務データや過去に接触した統計情報の想起・活用を含む）,,＊,,,旧BZ
24,5,データ理解,ビジネス観点での理解,★,ビジネス観点で仮説を持ってデータをみることの重要性と、仮に仮説と異なる結果となった場合にも、それが重大な知見である可能性を理解している,,,,◯,旧BZ
25,6,データ理解,ビジネス観点での理解,★★,統計手法を用いる際の閾値の設定に対して、ビジネス観点で納得感のある調整ができる（年齢の刻み、商品単価、購入周期を考慮した量的変数のカテゴライズなど）,,＊,,,旧BZ
26,7,データ理解,ビジネス観点での理解,★★★,分析プロセス全体を通して、ビジネス観点での妥当性をチェックし、データから得られた示唆が価値ある知見であるかを都度判断できる,,,,◯,旧BZ
27,8,データ理解,意味合いの抽出、洞察,★,分析結果を元に、起きている事象の背景や意味合い（真実）を見抜くことができる,,＊,,,旧BZ
28,9,データ理解,意味合いの抽出、洞察,★★,分析結果を元に、特異点、相違性、傾向性、関連性を見出した上で、ビジネス上の意味を捉えるためにドメイン知識を持つ人に適切な質問を投げかけられる,,＊,,,旧BZ
29,10,データ理解,意味合いの抽出、洞察,★★,分析結果を元に、意味合いの明確化に向けた分析の深掘り、分析対象データの見直しについて方向性を設計できる,,＊,,,旧BZ
30,1,データの理解・検証,俯瞰・メタ思考,★,データが生み出される経緯・背景を考え、データを鵜呑みにはしないことの重要性を理解している,＊,,,◯,DS
31,1,データ可視化,方向性定義,★,データの性質を理解するために、データを可視化し眺めて考えることの重要性を理解している,＊,,,◯,DS
32,1,ITセキュリティ,攻撃と防御手法,★,マルウェアなどによる深刻なリスクの種類（消失・漏洩・サービスの停止など）を理解している,＊,＊,,◯,DE
33,1,生成AI,生成AI活用,★,生成AIの仕組みを理解し、業務や課題解決に活用できる 生成AIについて基礎的な知識や活用方法を理解している,,,,,DE
