"NO","SubNo","スキルカテゴリ","サブカテゴリ","スキルレベル","チェック項目","BZ","DE","必須スキル"
1,1,"基礎数学","線形代数基礎","★","ベクトルの内積に関する計算方法を理解し、線形式をベクトルの内積で表現できる","","","◯"
2,2,"基礎数学","線形代数基礎","★","行列同士、および行列とベクトルの計算方法を正しく理解し、複数の線形式を行列の積で表現できる","","","◯"
3,3,"基礎数学","線形代数基礎","★","逆行列の定義、および逆行列を求めることにより行列表記された連立方程式が解けることを理解している","","",""
4,4,"基礎数学","線形代数基礎","★","固有ベクトルおよび固有値の意味を理解している","","",""
5,5,"基礎数学","微分・積分基礎","★","微分により計算する導関数が傾きを求めるための式であることを理解している","","","◯"
6,6,"基礎数学","微分・積分基礎","★","2変数以上の関数における偏微分の計算方法を理解している","","",""
7,7,"基礎数学","微分・積分基礎","★","積分と面積の関係を理解し、確率密度関数を定積分することで確率が得られることを説明できる","","","◯"
8,8,"基礎数学","集合論基礎","★","和集合、積集合、差集合、対称差集合、補集合についてベン図を用いて説明できる","","","◯"
9,9,"基礎数学","集合論基礎","★","論理演算と集合演算の対応を理解している（ANDが積集合に対応するなど）","","",""
10,1,"基礎数学","統計数理基礎","★","順列や組合せの式 nPr, nCr を理解し、適切に使い分けることができる","","","◯"
11,2,"基礎数学","統計数理基礎","★","確率に関する基本的な概念の意味を説明できる（確率、条件付き確率、期待値、独立など）","","","◯"
12,3,"基礎数学","統計数理基礎","★","平均、中央値、最頻値の算出方法の違いを説明できる","","","◯"
13,4,"基礎数学","統計数理基礎","★","与えられたデータにおける分散、標準偏差、四分位、パーセンタイルを理解し、目的に応じて適切に使い分けることができる","","","◯"
14,5,"基礎数学","統計数理基礎","★","母（集団）平均と標本平均、不偏分散と標本分散がそれぞれ異なることを説明できる","","","◯"
15,6,"基礎数学","統計数理基礎","★","標準正規分布の平均と分散の値を知っている","","","◯"
16,7,"基礎数学","統計数理基礎","★","相関関係と因果関係の違いを説明できる","","","◯"
17,8,"基礎数学","統計数理基礎","★","名義尺度、順序尺度、間隔尺度、比例尺度の違いを説明できる","","","◯"
18,9,"基礎数学","統計数理基礎","★","ピアソンの相関係数の分母と分子を説明できる","","","◯"
19,10,"基礎数学","統計数理基礎","★","５つ以上の代表的な確率分布を説明できる","","","◯"
20,11,"基礎数学","統計数理基礎","★","二項分布は試行回数が増えていくとどのような分布に近似されるかを知っている","","","◯"
21,12,"基礎数学","統計数理基礎","★","変数が量的、質的どちらの場合でも関係の強さを算出できる","","","◯"
22,13,"基礎数学","統計数理基礎","★","指数関数とlog関数の関係を理解し、片対数グラフ、両対数グラフ、対数化されていないグラフを適切に使いわけることができる","","","◯"
23,14,"基礎数学","統計数理基礎","★","ベイズの定理を説明できる","","","◯"
24,15,"基礎数学","統計数理基礎","★★","ベイズ推論が学習や予測、モデル評価などをすべて確率分布上の計算問題として扱っていることにより、これらの要素を確率分布として扱わない手法と比べ、どのようなメリットを生み出しているか理解している","","",""
25,16,"基礎数学","統計数理基礎","★★","自己情報量やエントロピーの意味について説明できる","","",""
26,17,"基礎数学","統計数理基礎","★★","カルバック・ライブラー情報量（KL divergence）、フィッシャー情報量の意味や利用方法について説明できる","","",""
27,18,"基礎数学","統計数理基礎","★★","尤度と最尤推定についての説明ができる（尤度関数、ネイマンの分解定理、十分統計量）","","",""
28,19,"意味合いの抽出、洞察","洞察","★","分析、図表から直接的な意味合いを抽出できる（バラツキ、有意性、分布傾向、特異性、関連性、変曲点、関連度の高低など）","＊","","◯"
29,20,"意味合いの抽出、洞察","洞察","★","想定に影響されず、分析結果の数値を客観的に解釈できる","＊","",""
30,21,"意味合いの抽出、洞察","洞察","★★","各種の解析手法（主成分分析、クラスター分析、決定木分析など）の結果を解釈し、意味合いを適切に表現・説明できる","＊","","◯"
31,22,"性質・関係性の把握","性質・関係性の把握","★","適切なデータ区間設定でヒストグラムを作成し、データのバラつき方を把握できる","＊","","◯"
